nor_countryid,nor_name
8b8751e5-5e33-f111-88b4-6045bde02116,HEARD ISLAND AND MCDONALD ISLANDS
b5314ceb-5e33-f111-88b4-6045bde02116,HOLY SEE (VATICAN CITY STATE)
8c8751e5-5e33-f111-88b4-6045bde02116,HONDURAS
8d8751e5-5e33-f111-88b4-6045bde02116,HONG KONG
8e8751e5-5e33-f111-88b4-6045bde02116,HUNGARY
8f8751e5-5e33-f111-88b4-6045bde02116,ICELAND
908751e5-5e33-f111-88b4-6045bde02116,INDIA
918751e5-5e33-f111-88b4-6045bde02116,INDONESIA
928751e5-5e33-f111-88b4-6045bde02116,"IRAN, ISLAMIC REPUBLIC OF"
938751e5-5e33-f111-88b4-6045bde02116,IRAQ
948751e5-5e33-f111-88b4-6045bde02116,IRELAND
958751e5-5e33-f111-88b4-6045bde02116,ISLE OF MAN
968751e5-5e33-f111-88b4-6045bde02116,ISRAEL
978751e5-5e33-f111-88b4-6045bde02116,ITALY
998751e5-5e33-f111-88b4-6045bde02116,JAMAICA
9a8751e5-5e33-f111-88b4-6045bde02116,JAPAN
9b8751e5-5e33-f111-88b4-6045bde02116,JERSEY
9c8751e5-5e33-f111-88b4-6045bde02116,JORDAN
9d8751e5-5e33-f111-88b4-6045bde02116,KAZAKHSTAN
9e8751e5-5e33-f111-88b4-6045bde02116,KENYA
9f8751e5-5e33-f111-88b4-6045bde02116,KIRIBATI
68314ceb-5e33-f111-88b4-6045bde02116,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF"
92314ceb-5e33-f111-88b4-6045bde02116,"KOREA, REPUBLIC OF"
c38651e5-5e33-f111-88b4-6045bde02116,Kosovo
a08751e5-5e33-f111-88b4-6045bde02116,KUWAIT
a18751e5-5e33-f111-88b4-6045bde02116,KYRGYZSTAN
a28751e5-5e33-f111-88b4-6045bde02116,LAO PEOPLE'S DEMOCRATIC REPUBLIC
a38751e5-5e33-f111-88b4-6045bde02116,LATVIA
a58751e5-5e33-f111-88b4-6045bde02116,LEBANON
a88751e5-5e33-f111-88b4-6045bde02116,LESOTHO
a98751e5-5e33-f111-88b4-6045bde02116,LIBERIA
aa8751e5-5e33-f111-88b4-6045bde02116,LIBYAN ARAB JAMAHIRIYA
a78751e5-5e33-f111-88b4-6045bde02116,LIECHTENSTEIN
ab8751e5-5e33-f111-88b4-6045bde02116,LITHUANIA
ac8751e5-5e33-f111-88b4-6045bde02116,LUXEMBOURG
ad8751e5-5e33-f111-88b4-6045bde02116,MACAO
af8751e5-5e33-f111-88b4-6045bde02116,MADAGASCAR
b08751e5-5e33-f111-88b4-6045bde02116,MALAWI
b18751e5-5e33-f111-88b4-6045bde02116,MALAYSIA
b38751e5-5e33-f111-88b4-6045bde02116,MALDIVES
b48751e5-5e33-f111-88b4-6045bde02116,MALI
b58751e5-5e33-f111-88b4-6045bde02116,MALTA
b68751e5-5e33-f111-88b4-6045bde02116,MARSHALL ISLANDS
b78751e5-5e33-f111-88b4-6045bde02116,MARTINIQUE
b88751e5-5e33-f111-88b4-6045bde02116,MAURITANIA
b98751e5-5e33-f111-88b4-6045bde02116,MAURITIUS
c18751e5-5e33-f111-88b4-6045bde02116,MAYOTTE
ba8751e5-5e33-f111-88b4-6045bde02116,MEXICO
bb8751e5-5e33-f111-88b4-6045bde02116,"MICRONESIA, FEDERATED STATES OF"
bc8751e5-5e33-f111-88b4-6045bde02116,"MOLDOVA, REPUBLIC OF"
bd8751e5-5e33-f111-88b4-6045bde02116,MONACO
be8751e5-5e33-f111-88b4-6045bde02116,MONGOLIA
b08651e5-5e33-f111-88b4-6045bde02116,MONTENEGRIN
bf8751e5-5e33-f111-88b4-6045bde02116,MONTSERRAT
c08751e5-5e33-f111-88b4-6045bde02116,MOROCCO
c28751e5-5e33-f111-88b4-6045bde02116,MOZAMBIQUE
c38751e5-5e33-f111-88b4-6045bde02116,MYANMAR
c48751e5-5e33-f111-88b4-6045bde02116,NAMIBIA
